Page_title	page_id	%revision	objective_frequency	obj_avg	well_writ_freq	well_writ_avg
Autism	25	465188360	0	0.000000	34	4.323529
Autism	25	440170653	38	3.815789	48	4.041667
Autism	25	473043499	31	3.516129	34	3.705882
Autism	25	460780001	44	3.795455	48	4.270833
Autism	25	452059003	45	4.088889	62	4.370968
Autism	25	498692644	0	0.000000	35	4.057143
A	290	456894246	51	3.705882	53	3.622642
A	290	486981619	41	3.609756	46	3.826087
Abraham_Lincoln	307	490125887	42	3.523810	45	3.400000
Abraham_Lincoln	307	478979725	33	3.575758	39	3.820513
Abraham_Lincoln	307	477222030	30	3.133333	31	3.709677
Abraham_Lincoln	307	482417929	30	4.033333	33	3.848485
Animal_Farm	620	453204850	58	3.896552	64	4.046875
Acid	656	473716647	30	3.600000	34	3.441176
Albert_Einstein	736	483492374	43	3.953488	49	4.081633
Albert_Einstein	736	442504748	30	3.700000	39	3.897436
Albert_Einstein	736	479233150	67	3.611940	67	3.970149
Albert_Einstein	736	470404304	41	4.097561	42	4.023810
Albert_Einstein	736	476274728	69	3.594203	77	3.844156
Albert_Einstein	736	440613147	38	3.552632	44	4.045455
Albert_Einstein	736	471905637	43	3.093023	50	3.560000
Albert_Einstein	736	473820054	42	3.833333	47	3.914894
Albert_Einstein	736	449037291	0	0.000000	33	3.666667
American_Revolutionary_War	771	472326396	0	0.000000	31	3.516129
Alexander_the_Great	783	443272205	55	1.200000	55	1.181818
Alexander_the_Great	783	443562062	74	1.337838	76	1.592105
Alexander_the_Great	783	446997601	32	1.812500	33	1.939394
Alexander_the_Great	783	452044422	30	3.533333	30	3.766667
Alexander_the_Great	783	445885823	32	1.125000	32	1.125000
Alexander_the_Great	783	442833371	40	1.325000	40	1.300000
Anime	800	466830416	42	3.761905	45	4.177778
Alexander_Graham_Bell	852	473271443	32	3.437500	34	3.470588
Alexander_Graham_Bell	852	469031796	32	3.562500	32	3.812500
American_Civil_War	863	476954737	30	3.100000	36	3.611111
American_Civil_War	863	461336447	56	3.910714	58	4.275862
American_Civil_War	863	483624442	39	3.153846	41	3.390244
Ancient_Egypt	874	471961658	0	0.000000	31	3.645161
Ancient_Egypt	874	443576922	43	2.883721	46	3.500000
Ancient_Egypt	874	488648729	0	0.000000	31	3.612903
Ancient_Egypt	874	492487116	0	0.000000	30	3.333333
Atom	902	499234183	0	0.000000	33	4.000000
Atom	902	459510484	51	3.725490	54	3.870370
Archipelago	911	452535690	32	3.218750	35	3.371429
Aphrodite	1174	454004765	30	3.866667	32	3.906250
Aphrodite	1174	486407770	35	3.228571	35	3.657143
Athena	1182	492188912	0	0.000000	31	3.225806
Ashoka	1239	476914433	0	0.000000	35	3.771429
Ashoka	1239	497183758	0	0.000000	37	4.081081
Ashoka	1239	487026096	0	0.000000	31	4.225806
Ashoka	1239	450765669	0	0.000000	30	4.066667
Ashoka	1239	467138155	0	0.000000	34	3.764706
Antimatter	1317	462466570	33	4.333333	34	4.352941
Archimedes	1844	445413161	31	3.548387	35	3.714286
Archimedes	1844	456315483	33	4.000000	37	3.837838
Archimedes	1844	451121393	0	0.000000	34	3.558824
Archimedes	1844	461256821	32	3.968750	33	4.151515
American_Revolution	1973	453121633	33	3.303030	37	3.756757
American_Revolution	1973	477027286	32	3.281250	34	3.529412
Ares	2041	457300633	0	0.000000	30	3.500000
Amerigo_Vespucci	2062	456249896	146	3.356164	151	3.642384
Amerigo_Vespucci	2062	463926900	42	3.333333	44	3.477273
Amerigo_Vespucci	2062	471652474	0	0.000000	31	3.806452
Amerigo_Vespucci	2062	485051775	0	0.000000	33	3.454545
Arctic_fox	2208	475219968	46	3.673913	53	3.830189
Arctic_fox	2208	484421874	43	3.767442	49	4.204082
Suzanne_Collins	4196525	495551204	30	3.333333	30	3.300000
Suzanne_Collins	4196525	489480535	106	3.471698	110	3.745455
Area_51	2321	468196414	0	0.000000	30	4.133333
Area_51	2321	485407917	38	3.421053	44	3.863636
Area_51	2321	452584789	0	0.000000	31	3.870968
Arc_de_Triomphe	2482	482443042	32	3.281250	32	3.593750
Anus	2500	448547953	35	2.571429	37	2.864865
African_National_Congress	2503	462091537	43	2.674419	49	3.204082
Amoxicillin	2885	450481509	0	0.000000	30	4.266667
Artemis	2905	482514710	0	0.000000	30	3.666667
Acid_rain	3263	469246995	105	3.209524	108	3.370370
Acid_rain	3263	493007913	34	2.823529	36	3.166667
Acid_rain	3263	478210248	59	3.254237	64	3.421875
Acid_rain	3263	483464626	83	3.554217	91	3.802198
Bill_Gates	3747	493669925	32	4.281250	40	4.450000
Bill_Gates	3747	497650733	36	3.750000	39	3.743590
Bill_Gates	3747	488968285	0	0.000000	32	4.031250
Bill_Gates	3747	466212590	0	0.000000	35	3.542857
Bill_Gates	3747	482521554	39	3.461538	40	3.625000
Basketball	3921	479927993	33	4.303030	39	4.102564
Basketball	3921	465844021	0	0.000000	30	3.933333
Badminton	3956	482523271	38	3.500000	42	3.714286
Badminton	3956	476085285	50	3.620000	57	4.140351
Badminton	3956	458699441	56	3.964286	68	4.102941
Badminton	3956	493938678	35	3.285714	45	3.622222
Benjamin_Franklin	3986	487279376	0	0.000000	30	3.700000
Benjamin_Franklin	3986	479596743	0	0.000000	32	3.468750
Benjamin_Franklin	3986	454548837	33	3.393939	38	3.526316
Bigfoot	4009	478125062	42	3.214286	41	3.878049
Bigfoot	4009	442644810	33	2.969697	0	0.000000
Bigfoot	4009	468996457	36	3.138889	39	3.846154
Big_Bang	4116	447642072	46	3.543478	49	3.673469
Cell_(biology)	4230	487986434	61	3.721311	66	3.696970
Cell_(biology)	4230	462398979	33	3.757576	36	3.388889
Cell_(biology)	4230	497412617	0	0.000000	32	3.656250
Cell_(biology)	4230	492200145	64	3.296875	74	3.770270
Cell_(biology)	4230	477651346	34	3.764706	38	3.789474
Cell_(biology)	4230	446612644	0	0.000000	30	3.733333
Cell_(biology)	4230	468702532	0	0.000000	37	3.540541
Cell_(biology)	4230	499397153	67	3.985075	72	3.902778
Cell_(biology)	4230	483761654	37	4.027027	40	3.900000
Cell_(biology)	4230	448649550	72	3.833333	80	3.725000
Cell_(biology)	4230	453895121	50	3.600000	56	3.607143
Cell_(biology)	4230	440896729	64	4.046875	74	3.972973
Cell_(biology)	4230	456188252	36	3.472222	39	3.487179
Cell_(biology)	4230	471101943	54	3.722222	61	3.852459
Cell_(biology)	4230	459696379	33	3.575758	39	3.794872
Bollywood	4246	477907351	89	1.483146	89	1.483146
Bollywood	4246	484506772	388	3.414948	388	3.407216
Bollywood	4246	477148121	65	1.430769	65	1.492308
Bollywood	4246	481009816	74	2.108108	74	2.148649
Bollywood	4246	487460892	179	3.005587	179	3.022346
Bollywood	4246	488635601	88	3.000000	88	3.000000
Bollywood	4246	488935255	61	3.000000	62	3.016129
Bollywood	4246	483278690	93	4.537634	93	4.505376
Bollywood	4246	479837029	45	1.488889	45	1.422222
Bodhidharma	4285	459294041	30	4.100000	38	3.973684
Bodhidharma	4285	460196405	0	0.000000	33	4.545455
Bodhidharma	4285	467424523	0	0.000000	32	3.781250
Bodhidharma	4285	459472349	62	4.338710	90	4.222222
Bodhidharma	4285	457813991	44	3.863636	56	4.000000
Bodhidharma	4285	453120375	54	4.240741	78	4.256410
Bodhidharma	4285	458047887	33	4.424242	55	4.290909
Bodhidharma	4285	458483118	51	4.176471	71	4.281690
Baltimore_Orioles	4340	442607260	39	3.948718	38	3.947368
Bald_Eagle	4401	446799966	30	3.300000	35	3.685714
Bald_Eagle	4401	470402807	0	0.000000	32	3.937500
Bald_Eagle	4401	486453525	30	3.766667	33	3.818182
Black_Death	4501	486850857	56	3.250000	60	3.233333
Black_Death	4501	476586223	32	3.406250	34	3.676471
Black_Death	4501	483507908	39	3.384615	41	3.707317
